wl	%T
850	0.000861409
849.5	0.000664571
849	0.000270378
848.5	0.001140749
848	0.000646616
847.5	0.000646871
847	0.000666636
846.5	0.000268911
846	0.000841999
845.5	-0.000115845
845	0.001065067
844.5	0.000657142
844	0.00020928
843.5	0.000439093
843	0.000565477
842.5	-0.000186322
842	0.000604187
841.5	0.000170785
841	0.000553908
840.5	0.000123789
840	0.000559598
839.5	0.000319867
839	0.000779947
838.5	4.73e-05
838	-0.000595021
837.5	0.0009280030000000001
837	8.52e-05
836.5	2.12e-05
836	0.000318002
835.5	0.00061624
835	0.000464781
834.5	0.001175564
834	0.000643357
833.5	8.14e-05
833	0.000831225
832.5	0.001675707
832	0.000737
831.5	0.000149291
831	0.000844198
830.5	-0.00110006
830	0.00091664
829.5	0.00084297
829	-4.58e-05
828.5	0.000325301
828	-0.000194689
827.5	0.001140457
827	0.001154628
826.5	-0.000107482
826	0.000552641
825.5	0.001660062
825	4.66e-05
824.5	2.46e-05
824	0.000202751
823.5	0.001330536
823	0.0005599929999999999
822.5	8.24e-05
822	0.000780489
821.5	0.000163492
821	7.109999999999999e-05
820.5	-0.000874573
820	0.000450462
819.5	0.000291483
819	0.000599858
818.5	0.001319431
818	-0.000253188
817.5	0.000235484
817	0.001101158
816.5	0.001010095
816	0.000172448
815.5	0.001867159
815	4.84e-05
814.5	0.000594261
814	0.000747064
813.5	0.000879972
813	0.000760589
812.5	-0.000539982
812	0.00086558
811.5	0.001493113
811	0.000653249
810.5	0.001374944
810	0.000170538
809.5	0.000113058
809	0.000659732
808.5	0.0009784559999999999
808	0.000853512
807.5	0.002041521
807	0.001712297
806.5	0.001971129
806	0.000795348
805.5	7.52e-05
805	0.00112787
804.5	0.001189134
804	0.001512176
803.5	0.001042117
803	0.001361451
802.5	0.000598764
802	-7.85e-05
801.5	0.000659167
801	0.001286327
800.5	0.000482762
800	0.000416535
799.5	-0.000432155
799	-0.000120951
798.5	-0.000247467
798	-0.000546894
797.5	-0.000392751
797	2.01e-05
796.5	4.51e-06
796	0.000309207
795.5	0.000217067
795	0.000349608
794.5	4.31e-05
794	0.000114561
793.5	0.000386555
793	0.000296213
792.5	-0.000307222
792	-2.49e-05
791.5	0.000465707
791	-0.000216437
790.5	0.000244331
790	-8.64e-05
789.5	-0.000372638
789	9.339999999999999e-05
788.5	0.000106609
788	0.000170208
787.5	0.000591752
787	0.001772497
786.5	0.001134584
786	0.001013873
785.5	0.000215363
785	0.000425092
784.5	0.000522664
784	-2.65e-05
783.5	-0.000224419
783	0.000132187
782.5	-2.03e-05
782	0.000569692
781.5	-0.000398285
781	0.000378755
780.5	1.9e-05
780	-2.4e-05
779.5	8.77e-05
779	2.08e-05
778.5	1.22e-05
778	9.07e-05
777.5	0.000120138
777	-8.43e-05
776.5	0.00016451
776	0.000160394
775.5	1.18e-05
775	2.01e-05
774.5	-0.000223924
774	-0.000337202
773.5	-0.00017915
773	0.000342922
772.5	3.3e-05
772	-0.000481768
771.5	-9.7e-06
771	-0.000141824
770.5	-0.000159476
770	-0.000376516
769.5	1.96e-05
769	0.000294195
768.5	0.001228891
768	0.001065275
767.5	0.000375701
767	0.000216372
766.5	-1.34e-05
766	-6.06e-05
765.5	-0.000344756
765	-4.79e-05
764.5	6.43e-05
764	7.57e-05
763.5	0.000541958
763	-0.000144396
762.5	-0.000212386
762	-3.52e-05
761.5	3.08e-05
761	0.000315554
760.5	4.42e-05
760	0.000157258
759.5	0.000237248
759	0.000386407
758.5	0.000218235
758	0.000262202
757.5	0.00052991
757	0.000716402
756.5	0.000620764
756	0.000742826
755.5	0.000456258
755	0.00042033
754.5	0.000825856
754	0.0006424
753.5	0.000228929
753	0.000449624
752.5	0.000480675
752	0.000354969
751.5	0.000641777
751	0.000299669
750.5	0.000359116
750	0.000555026
749.5	-0.000308686
749	-0.000284754
748.5	8.440000000000001e-05
748	0.000156114
747.5	-9.98e-05
747	5.65e-05
746.5	0.000123253
746	0.000226175
745.5	0.000764588
745	0.000117762
744.5	0.000442044
744	0.000459063
743.5	0.000176054
743	0.000493692
742.5	0.000309025
742	0.000467059
741.5	0.0006524840000000001
741	5.48e-05
740.5	0.000723367
740	0.000689555
739.5	0.00011767
739	0.000480612
738.5	-1.09e-06
738	-0.000127746
737.5	-0.000103315
737	-7.04e-05
736.5	-0.000243194
736	0.000346663
735.5	0.000112898
735	-6.84e-06
734.5	1.77e-05
734	0.000164723
