wl	%T
1200	46.50274658
1199.5	46.73846436
1199	47.20085907
1198.5	47.89881516
1198	48.84377289
1197.5	50.05767441
1197	51.57862854
1196.5	53.47688293
1196	55.61483383
1195.5	58.25412369
1195	61.19421005
1194.5	64.35281372
1194	68.03854370000001
1193.5	71.72566986
1193	75.32118225000001
1192.5	78.76119232000001
1192	81.58487701
1191.5	83.44261932000001
1191	83.96569823999999
1190.5	82.82455444
1190	80.05835724000001
1189.5	75.82369995000001
1189	70.31369780999999
1188.5	64.14875031
1188	57.77198792
1187.5	51.19516754
1187	45.08962631
1186.5	39.77944565
1186	34.86878967
1185.5	30.62695313
1185	27.06790352
1184.5	23.879076
1184	21.18641472
1183.5	18.93399429
1183	17.02153206
1182.5	15.38271332
1182	13.97250557
1181.5	12.80644131
1181	11.74588871
1180.5	10.86842155
1180	10.13975525
1179.5	9.497109413
1179	8.965709686
1178.5	8.50742054
1178	8.109272002999999
1177.5	7.779065609
1177	7.510938644
1176.5	7.294322014
1176	7.118497849
1175.5	6.993416786
1175	6.914682865
1174.5	6.874230385
1174	6.87334013
1173.5	6.905807018
1173	6.977423191
1172.5	7.087112427
1172	7.238264561
1171.5	7.457409859
1171	7.721423149
1170.5	8.010129929
1170	8.339852333
1169.5	8.707592964
1169	9.124097824
1168.5	9.600236893
1168	10.11513138
1167.5	10.59037781
1167	11.01144695
1166.5	11.37868118
1166	11.6562767
1165.5	11.81841373
1165	11.81324387
1164.5	11.57797337
1164	11.18639946
1163.5	10.63120556
1163	10.00585938
1162.5	9.327270508
1162	8.581719398000001
1161.5	7.807996273
1161	7.107872009
1160.5	6.478426456
1160	5.902193546
1159.5	5.381070614
1159	4.922355652
1158.5	4.484935284
1158	4.137370586
1157.5	3.847355127
1157	3.585571766
1156.5	3.356157541
1156	3.159096479
1155.5	3.00784421
1155	2.877016783
1154.5	2.762842655
1154	2.670838118
1153.5	2.60453248
1153	2.56824851
1152.5	2.541597366
1152	2.521446228
1151.5	2.524170637
1151	2.556646824
1150.5	2.607848406
1150	2.667245626
1149.5	2.739571571
1149	2.854851723
1148.5	2.995913029
1148	3.145547152
1147.5	3.308960915
1147	3.511121511
1146.5	3.736699104
1146	3.9528265
1145.5	4.152123451
1145	4.335343361
1144.5	4.465959072
1144	4.496928215
1143.5	4.429317951
1143	4.267676353
1142.5	4.023183823
1142	3.690018177
1141.5	3.319727182
1141	2.962880135
1140.5	2.611668587
1140	2.284258127
1139.5	1.98981297
1139	1.7340101
1138.5	1.514544845
1138	1.330765486
1137.5	1.172537684
1137	1.041977882
1136.5	0.9335945248999999
1136	0.8325323462000001
1135.5	0.752589345
1135	0.686064899
1134.5	0.627779007
1134	0.5781656504
1133.5	0.5363361239
1133	0.501491785
1132.5	0.4680277407
1132	0.4419135749
1131.5	0.4207456112
1131	0.4001765847
1130.5	0.3836342394
1130	0.3715643883
1129.5	0.3609205484
1129	0.3502595127
1128.5	0.3432958126
1128	0.3386229575
1127.5	0.3332008123
1127	0.3324663341
1126.5	0.3317204118
1126	0.3320319355
1125.5	0.3345302641
1125	0.3391391039
1124.5	0.3431332111
1124	0.3491866887
1123.5	0.3548160791
1123	0.3621387482
1122.5	0.3701831102
1122	0.379419744
1121.5	0.3885656893
1121	0.3985416293
1120.5	0.4039516747
1120	0.411347717
1119.5	0.4165413678
1119	0.4180794954
1118.5	0.4184433222
1118	0.413755089
1117.5	0.4081912935
1117	0.4003211856
1116.5	0.3867975771
1116	0.3725990951
1115.5	0.3581334949
1115	0.3405685425
1114.5	0.324465096
1114	0.3060524762
1113.5	0.2891612053
1113	0.2727122605
1112.5	0.2574536204
1112	0.2430269718
1111.5	0.2300577462
1111	0.2179643661
1110.5	0.2089863122
1110	0.1976783574
1109.5	0.1884487271
1109	0.1822330952
1108.5	0.1750646085
1108	0.1698374599
1107.5	0.1656602323
1107	0.1622201949
1106.5	0.1584701985
1106	0.1559843719
1105.5	0.1551239043
1105	0.1552287787
1104.5	0.1550333053
1104	0.1568243653
1103.5	0.1592797637
1103	0.1593228132
1102.5	0.1643925905
1102	0.1681229323
1101.5	0.1742691249
1101	0.1803910136
1100.5	0.1871404946
1100	0.1961188316
1099.5	0.2059168816
1099	0.2160757333
1098.5	0.2267941833
1098	0.239852652
1097.5	0.2514301836
1097	0.2641515136
1096.5	0.2757702768
1096	0.2862897813
1095.5	0.2955952287
1095	0.3018551469
1094.5	0.3047044277
1094	0.3044969141
1093.5	0.302069515
1093	0.292660147
1092.5	0.2836725116
1092	0.2694000602
1091.5	0.2574207783
1091	0.2411911488
1090.5	0.2261087
1090	0.2116041481
1089.5	0.1986218393
1089	0.1851144582
1088.5	0.1739547849
1088	0.1638193727
1087.5	0.1527145356
1087	0.1449856162
1086.5	0.1367603242
1086	0.1305939108
1085.5	0.1238617897
1085	0.1198237538
1084.5	0.11353755
1084	0.109975636
1083.5	0.1072645783
1083	0.1037391573
1082.5	0.1016919762
1082	0.100331232
1081.5	0.09858132154
1081	0.09695932269
1080.5	0.09505611658
1080	0.09444831312
1079.5	0.09285674244
1079	0.09268151224
1078.5	0.09236333519000001
1078	0.09085198492
1077.5	0.09161996096
1077	0.09030949324
1076.5	0.09062530845
1076	0.08842113614
1075.5	0.08886508644
1075	0.08815200627
1074.5	0.08698143065
1074	0.08567772806
1073.5	0.08595176786
1073	0.08363451064000001
1072.5	0.08373398334
1072	0.08329369873
1071.5	0.08192972094000001
1071	0.08106201887
1070.5	0.08037673682
1070	0.079944022
1069.5	0.07960097492
1069	0.07949796319000001
1068.5	0.08002810925000001
1068	0.07919149846
1067.5	0.0796752423
1067	0.08087418973
1066.5	0.08142005652000001
1066	0.08244606107000001
1065.5	0.08389381319
1065	0.08750426024000001
1064.5	0.08933474123
1064	0.09256365895
1063.5	0.09498167037999999
1063	0.09984035045
1062.5	0.105156973
1062	0.1100178584
1061.5	0.1140343696
1061	0.1201786101
1060.5	0.1259313673
1060	0.1315093189
1059.5	0.1361918449
1059	0.1403974891
1058.5	0.1427178234
1058	0.1445279121
1057.5	0.1435743123
1057	0.1421114504
1056.5	0.1389588565
1056	0.1316488087
1055.5	0.1240001544
1055	0.1172320098
1054.5	0.1101195812
1054	0.1026807353
1053.5	0.09504725039
1053	0.08793990314
1052.5	0.08132489771
1052	0.07618600875000001
1051.5	0.07146081327999999
1051	0.06762515753999999
1050.5	0.06489171087999999
1050	0.06158997491
1049.5	0.05917635933
1049	0.05726682767
1048.5	0.05600378662
