wl	%T
300.0	2.1569e-07
300.2	2.1329e-07
300.4	2.1091e-07
300.6	2.0856e-07
300.8	2.0624e-07
301.0	2.0394e-07
301.2	2.0167e-07
301.4	1.9942e-07
301.6	1.972e-07
301.8	1.95e-07
302.0	1.921e-07
302.2	1.8924e-07
302.4	1.8642e-07
302.6	1.8364e-07
302.8	1.8091e-07
303.0	1.7821e-07
303.2	1.7555e-07
303.4	1.7294e-07
303.6	1.7036e-07
303.8	1.6782e-07
304.0	1.9268e-07
304.2	2.307e-07
304.4	2.7621e-07
304.6	3.3071e-07
304.8	3.9595e-07
305.0	4.7407e-07
305.2	5.676e-07
305.4	6.7959e-07
305.6	8.1366e-07
305.8	9.7419e-07
306.0	9.7632e-07
306.2	8.579e-07
306.4	7.5384e-07
306.6	6.6241e-07
306.8	5.8207e-07
307.0	5.1147e-07
307.2	4.4943e-07
307.4	3.9492e-07
307.6	3.4702e-07
307.8	3.0493e-07
308.0	2.8643e-07
308.2	3.0142e-07
308.4	3.1719e-07
308.6	3.3379e-07
308.8	3.5125e-07
309.0	3.6963e-07
309.2	3.8898e-07
309.4	4.0933e-07
309.6	4.3075e-07
309.8	4.5329e-07
310.0	4.7882e-07
310.2	5.2828e-07
310.4	5.8285e-07
310.6	6.4306e-07
310.8	7.0948e-07
311.0	7.8277e-07
311.2	8.6363e-07
311.4	9.5284e-07
311.6	1.0513e-06
311.8	1.1599e-06
312.0	1.2555e-06
312.2	1.3584e-06
312.4	1.4698e-06
312.6	1.5903e-06
312.8	1.7206e-06
313.0	1.8616e-06
313.2	2.0142e-06
313.4	2.1793e-06
313.6	2.358e-06
313.8	2.5512e-06
314.0	2.5635e-06
314.2	2.5179e-06
314.4	2.4731e-06
314.6	2.4291e-06
314.8	2.3859e-06
315.0	2.3435e-06
315.2	2.3019e-06
315.4	2.2609e-06
315.6	2.2207e-06
315.8	2.1812e-06
316.0	2.1514e-06
316.2	2.1289e-06
316.4	2.1066e-06
316.6	2.0845e-06
316.8	2.0627e-06
317.0	2.041e-06
317.2	2.0197e-06
317.4	1.9985e-06
317.6	1.9775e-06
317.8	1.9568e-06
318.0	2.0376e-06
318.2	2.3183e-06
318.4	2.6378e-06
318.6	3.0013e-06
318.8	3.4148e-06
319.0	3.8854e-06
319.2	4.4208e-06
319.4	5.03e-06
319.6	5.7231e-06
319.8	6.5118e-06
320.0	7.366e-06
320.2	7.792e-06
320.4	8.2426e-06
320.6	8.7193e-06
320.8	9.2236e-06
321.0	9.757e-06
321.2	1.0321e-05
321.4	1.0918e-05
321.6	1.155e-05
321.8	1.2218e-05
322.0	9.75e-06
322.2	7.7362e-06
322.4	6.1384e-06
322.6	4.8705e-06
322.8	3.8645e-06
323.0	3.0663e-06
323.2	2.433e-06
323.4	1.9305e-06
323.6	1.5318e-06
323.8	1.2154e-06
324.0	1.174e-06
324.2	1.1988e-06
324.4	1.224e-06
324.6	1.2499e-06
324.8	1.2762e-06
325.0	1.3031e-06
325.2	1.3306e-06
325.4	1.3586e-06
325.6	1.3873e-06
325.8	1.4165e-06
326.0	1.348e-06
326.2	1.2189e-06
326.4	1.1022e-06
326.6	9.9664e-07
326.8	9.0121e-07
327.0	8.1492e-07
327.2	7.3689e-07
327.4	6.6633e-07
327.6	6.0252e-07
327.8	5.4483e-07
328.0	5.2272e-07
328.2	5.5126e-07
328.4	5.8136e-07
328.6	6.1311e-07
328.8	6.4659e-07
329.0	6.8189e-07
329.2	7.1913e-07
329.4	7.584e-07
329.6	7.9981e-07
329.8	8.4348e-07
330.0	8.9137e-07
330.2	9.6058e-07
330.4	1.0352e-06
330.6	1.1156e-06
330.8	1.2022e-06
331.0	1.2955e-06
331.2	1.3961e-06
331.4	1.5045e-06
331.6	1.6214e-06
331.8	1.7473e-06
332.0	1.28e-06
332.2	9.1888e-07
332.4	6.5962e-07
332.6	4.7351e-07
332.8	3.3991e-07
333.0	2.4401e-07
333.2	1.7516e-07
333.4	1.2574e-07
333.6	9.0263e-08
333.8	6.4796e-08
334.0	5.9335e-08
334.2	5.8802e-08
334.4	5.8273e-08
334.6	5.7749e-08
334.8	5.723e-08
335.0	5.6716e-08
335.2	5.6206e-08
335.4	5.57e-08
335.6	5.5199e-08
335.8	5.4703e-08
336.0	5.981e-08
336.2	7.0534e-08
336.4	8.3182e-08
336.6	9.8097e-08
336.8	1.1569e-07
337.0	1.3643e-07
337.2	1.6089e-07
337.4	1.8974e-07
337.6	2.2376e-07
337.8	2.6388e-07
338.0	2.9791e-07
338.2	3.1272e-07
338.4	3.2827e-07
338.6	3.4459e-07
338.8	3.6173e-07
339.0	3.7971e-07
339.2	3.986e-07
339.4	4.1842e-07
339.6	4.3922e-07
339.8	4.6106e-07
340.0	4.8176e-07
340.2	4.8175e-07
340.4	4.8174e-07
340.6	4.8173e-07
340.8	4.8172e-07
341.0	4.8171e-07
341.2	4.817e-07
341.4	4.8169e-07
341.6	4.8168e-07
341.8	4.8167e-07
342.0	3.8139e-07
342.2	2.9673e-07
342.4	2.3087e-07
342.6	1.7962e-07
342.8	1.3975e-07
343.0	1.0873e-07
343.2	8.4594e-08
343.4	6.5816e-08
343.6	5.1207e-08
343.8	3.984e-08
344.0	4.3935e-08
344.2	5.4767e-08
344.4	6.8269e-08
344.6	8.5101e-08
344.8	1.0608e-07
345.0	1.3224e-07
345.2	1.6484e-07
345.4	2.0548e-07
345.6	2.5614e-07
345.8	3.193e-07
346.0	3.6369e-07
346.2	3.8535e-07
346.4	4.083e-07
346.6	4.3261e-07
346.8	4.5838e-07
347.0	4.8568e-07
347.2	5.146e-07
347.4	5.4525e-07
347.6	5.7773e-07
347.8	6.1213e-07
348.0	6.3788e-07
348.2	6.4653e-07
348.4	6.5529e-07
348.6	6.6418e-07
348.8	6.7318e-07
349.0	6.823e-07
349.2	6.9155e-07
349.4	7.0093e-07
349.6	7.1043e-07
349.8	7.2006e-07
350.0	7.312e-07
350.2	7.5601e-07
350.4	7.8166e-07
350.6	8.0818e-07
350.8	8.356e-07
351.0	8.6395e-07
351.2	8.9327e-07
351.4	9.2357e-07
351.6	9.5491e-07
351.8	9.8731e-07
352.0	1.0466e-06
352.2	1.1116e-06
352.4	1.1807e-06
352.6	1.254e-06
352.8	1.3318e-06
353.0	1.4145e-06
353.2	1.5024e-06
353.4	1.5956e-06
353.6	1.6947e-06
353.8	1.8e-06
354.0	1.8912e-06
354.2	1.9799e-06
354.4	2.0726e-06
354.6	2.1697e-06
354.8	2.2714e-06
355.0	2.3778e-06
355.2	2.4892e-06
355.4	2.6058e-06
355.6	2.7279e-06
355.8	2.8557e-06
356.0	2.9448e-06
356.2	3.0017e-06
356.4	3.0596e-06
356.6	3.1187e-06
