wl	%T
300.00	0.13553600013256
301.00	0.13847699761391
302.00	0.14015699923038
303.00	0.14141699671745
304.00	0.14351700246334
305.00	0.14505699276924
306.00	0.14701800048351
307.00	0.1506579965353
308.00	0.15387900173664
309.00	0.15779900550842
310.00	0.1635400056839
311.00	0.16745999455452
312.00	0.17124100029469
313.00	0.17516100406647
314.00	0.17670099437237
315.00	0.17600099742413
316.00	0.1713809967041
317.00	0.16536000370979
318.00	0.15709899365902
319.00	0.14267699420452
320.00	0.13049599528313
321.00	0.11775399744511
322.00	0.10011199861765
323.00	0.088070601224899
324.00	0.077429302036762
325.00	0.065247796475887
326.00	0.057966999709606
327.00	0.051526200026274
328.00	0.044245298951864
329.00	0.039484698325396
330.00	0.035844299942255
331.00	0.031783800572157
332.00	0.028983499854803
333.00	0.026743199676275
334.00	0.023662799969316
335.00	0.022122699767351
336.00	0.021282499656081
337.00	0.02002239972353
338.00	0.019182300195098
339.00	0.019322300329804
340.00	0.01960239931941
341.00	0.019742399454117
342.00	0.019742399454117
343.00	0.020302399992943
344.00	0.021002499386668
345.00	0.021842600777745
346.00	0.023242799565196
347.00	0.024783000349998
348.00	0.02604310028255
349.00	0.027723299339414
350.00	0.02912349998951
351.00	0.030663700774312
352.00	0.032903999090195
353.00	0.034304101020098
354.00	0.035564299672842
355.00	0.037384498864412
356.00	0.038784600794315
357.00	0.040464799851179
358.00	0.042565099895
359.00	0.044105298817158
360.00	0.046065498143435
361.00	0.048585798591375
362.00	0.05054609850049
363.00	0.052646301686764
364.00	0.055726699531078
365.00	0.057826898992062
366.00	0.060067199170589
367.00	0.062307499349117
368.00	0.063427597284317
369.00	0.064407698810101
370.00	0.065107800066471
371.00	0.065107800066471
372.00	0.064687803387642
373.00	0.063287600874901
374.00	0.061607401818037
375.00	0.059927199035883
376.00	0.056986801326275
377.00	0.054606601595879
378.00	0.052366301417351
379.00	0.048585798591375
380.00	0.045925501734018
381.00	0.043405201286077
382.00	0.039904799312353
383.00	0.037384498864412
384.00	0.035144198685884
385.00	0.032483901828527
386.00	0.030523700639606
387.00	0.028563400730491
388.00	0.02604310028255
389.00	0.024502899497747
390.00	0.02310279943049
391.00	0.021562600508332
392.00	0.020442500710487
393.00	0.019462300464511
394.00	0.018342200666666
395.00	0.017922099679708
396.00	0.017642099410295
397.00	0.017502099275589
398.00	0.017362099140882
399.00	0.017222100868821
400.00	0.017362099140882
401.00	0.017502099275589
402.00	0.017502099275589
403.00	0.017782099545002
404.00	0.017922099679708
405.00	0.018062200397253
406.00	0.018622199073434
407.00	0.018762299790978
408.00	0.019042300060391
409.00	0.019462300464511
410.00	0.019742399454117
411.00	0.020162399858236
412.00	0.020442500710487
413.00	0.020582500845194
414.00	0.020862499251962
415.00	0.021422600373626
416.00	0.021422600373626
417.00	0.021702600643039
418.00	0.022122699767351
419.00	0.022262699902058
420.00	0.022402700036764
421.00	0.022402700036764
422.00	0.022262699902058
423.00	0.022122699767351
424.00	0.022122699767351
425.00	0.021982600912452
426.00	0.021842600777745
427.00	0.021562600508332
428.00	0.021282499656081
429.00	0.020862499251962
430.00	0.020582500845194
431.00	0.020162399858236
432.00	0.019742399454117
433.00	0.019182300195098
434.00	0.018902299925685
435.00	0.018762299790978
436.00	0.018762299790978
437.00	0.018482200801373
438.00	0.018342200666666
439.00	0.018342200666666
440.00	0.018342200666666
441.00	0.018342200666666
442.00	0.01820220053196
443.00	0.01820220053196
444.00	0.018062200397253
445.00	0.018062200397253
446.00	0.018062200397253
447.00	0.017782099545002
448.00	0.017222100868821
449.00	0.01694200001657
450.00	0.016801999881864
451.00	0.016661999747157
452.00	0.016521999612451
453.00	0.016381999477744
454.00	0.016241999343038
455.00	0.016101900488138
456.00	0.015961900353432
457.00	0.015821900218725
458.00	0.015541899949312
459.00	0.01540180016309
460.00	0.015121799893677
461.00	0.014981799758971
462.00	0.014841799624264
463.00	0.01470180042088
464.00	0.014421699568629
465.00	0.014281700365245
466.00	0.014281700365245
467.00	0.014281700365245
468.00	0.014141700230539
469.00	0.014281700365245
470.00	0.014421699568629
471.00	0.014561800286174
472.00	0.014841799624264
473.00	0.014981799758971
474.00	0.01540180016309
475.00	0.015961900353432
476.00	0.016521999612451
477.00	0.017222100868821
478.00	0.018482200801373
479.00	0.019322300329804
480.00	0.020302399992943
481.00	0.021842600777745
482.00	0.02310279943049
483.00	0.024362899363041
484.00	0.026183100417256
485.00	0.027723299339414
486.00	0.029403500258923
487.00	0.03164380043745
488.00	0.033183999359608
489.00	0.034864198416471
490.00	0.037384498864412
491.00	0.039064701646566
492.00	0.04074490070343
493.00	0.043125201016665
494.00	0.044805400073528
495.00	0.046625599265099
496.00	0.049005899578333
497.00	0.05054609850049
498.00	0.052226301282644
499.00	0.054606601595879
500.00	0.056286800652742
501.00	0.057966999709606
502.00	0.060487300157547
503.00	0.062307499349117
504.00	0.064127698540688
505.00	0.066788002848625
506.00	0.068888299167156
507.00	0.071128502488136
508.00	0.074629001319408
509.00	0.077569298446178
510.00	0.08078970015049
511.00	0.085830301046371
512.00	0.090030796825886
513.00	0.094791397452354
514.00	0.10221199691296
515.00	0.10823299735785
516.00	0.11481399834156
517.00	0.12461499869823
518.00	0.13189600408077
519.00	0.13959699869156
520.00	0.15079799294472
521.00	0.15905900299549
522.00	0.16774000227451
523.00	0.1802020072937
524.00	0.18944300711155
525.00	0.19854399561882
526.00	0.21128499507904
527.00	0.22024600207806
528.00	0.22906699776649
529.00	0.24054899811745
530.00	0.24839000403881
531.00	0.25553101301193
