wl	%T
250.00	0.49423098564148
251.00	0.4893000125885
252.00	0.48937800526619
253.00	0.49063301086426
254.00	0.49031099677086
255.00	0.49055400490761
256.00	0.49235698580742
257.00	0.49925500154495
258.00	0.50912398099899
259.00	0.51704901456833
260.00	0.52073401212692
261.00	0.52292901277542
262.00	0.52872902154922
263.00	0.53766602277756
264.00	0.55326497554779
265.00	0.56870698928833
266.00	0.57968199253082
267.00	0.58885300159454
268.00	0.60162997245789
269.00	0.61463499069214
270.00	0.62624400854111
271.00	0.63823801279068
272.00	0.65101498365402
273.00	0.66488999128342
274.00	0.67845100164413
275.00	0.68989598751068
276.00	0.69844001531601
277.00	0.70376998186111
278.00	0.70518100261688
279.00	0.70283001661301
280.00	0.69820499420166
281.00	0.68762201070786
282.00	0.67155301570892
283.00	0.65211302042007
284.00	0.63509398698807
285.00	0.61864101886749
286.00	0.5991929769516
287.00	0.56988298892975
288.00	0.52606397867203
289.00	0.47424900531769
290.00	0.426589012146
291.00	0.38888499140739
292.00	0.36027300357819
293.00	0.33565899729729
294.00	0.31214201450348
295.00	0.29042899608612
296.00	0.27263501286507
297.00	0.25695699453354
298.00	0.24472799897194
299.00	0.23351900279522
300.00	0.22387699782848
301.00	0.21439200639725
302.00	0.20522099733353
303.00	0.19597099721432
304.00	0.18781800568104
305.00	0.18084199726582
306.00	0.17464900016785
307.00	0.16994599997997
308.00	0.1659480035305
309.00	0.1623419970274
310.00	0.15889300405979
311.00	0.15599299967289
312.00	0.15403300523758
313.00	0.15097600221634
314.00	0.14870299398899
315.00	0.14713500440121
316.00	0.14509700238705
317.00	0.14211800694466
318.00	0.13835500180721
319.00	0.13592499494553
320.00	0.13239799439907
321.00	0.12973299622536
322.00	0.12604799866676
323.00	0.12338300049305
324.00	0.12032599747181
325.00	0.11703400313854
326.00	0.11483900249004
327.00	0.11209499835968
328.00	0.10927300155163
329.00	0.10480500012636
330.00	0.10378599911928
331.00	0.10166999697685
332.00	0.10119900107384
333.00	0.098926097154617
334.00	0.096574403345585
335.00	0.09579049795866
336.00	0.094928301870823
337.00	0.095006696879864
338.00	0.093987599015236
339.00	0.091871097683907
340.00	0.091949500143528
341.00	0.090930499136448
342.00	0.091165602207184
343.00	0.090538501739502
344.00	0.089597903192043
345.00	0.090930499136448
346.00	0.090225003659725
347.00	0.090616896748543
348.00	0.091165602207184
349.00	0.091714397072792
350.00	0.091714397072792
351.00	0.093047000467777
352.00	0.093438901007175
353.00	0.095947302877903
354.00	0.096809603273869
355.00	0.096966400742531
356.00	0.098926097154617
357.00	0.10025899857283
358.00	0.10229700058699
359.00	0.103237003088
360.00	0.10535400360823
361.00	0.10613799840212
362.00	0.10809800028801
363.00	0.10911700129509
364.00	0.11162500083447
365.00	0.11342799663544
366.00	0.11578000336885
367.00	0.11758299916983
368.00	0.12048300355673
369.00	0.12212900072336
370.00	0.12471599876881
371.00	0.12636199593544
372.00	0.1291060000658
373.00	0.13122199475765
374.00	0.133495002985
375.00	0.13600400090218
376.00	0.137885004282
377.00	0.14039400219917
378.00	0.14266699552536
379.00	0.14462600648403
380.00	0.14760500192642
381.00	0.14956499636173
382.00	0.15191699564457
383.00	0.15254400670528
384.00	0.15536600351334
385.00	0.15708999335766
386.00	0.15912799537182
387.00	0.1623419970274
388.00	0.16485099494457
389.00	0.16571299731731
390.00	0.16767300665379
391.00	0.1703380048275
392.00	0.17198400199413
393.00	0.17433600127697
394.00	0.17629499733448
395.00	0.17833299934864
396.00	0.17997999489307
397.00	0.18162600696087
398.00	0.18350699543953
399.00	0.18491800129414
400.00	0.18625099956989
401.00	0.18750500679016
402.00	0.18899400532246
403.00	0.18954299390316
404.00	0.19079700112343
405.00	0.19173799455166
406.00	0.19322699308395
407.00	0.1940899938345
408.00	0.19573600590229
409.00	0.19706800580025
410.00	0.19855800271034
411.00	0.20051699876785
412.00	0.20255500078201
413.00	0.20467199385166
414.00	0.20686699450016
415.00	0.2092179954052
416.00	0.21180500090122
417.00	0.21470600366592
418.00	0.21705700457096
419.00	0.22011399269104
420.00	0.22340700030327
421.00	0.22701300680637
422.00	0.23061800003052
423.00	0.23336200416088
424.00	0.23626199364662
425.00	0.23971199989319
426.00	0.24331699311733
427.00	0.24778600037098
428.00	0.25225400924683
429.00	0.25750601291656
430.00	0.26213100552559
431.00	0.26746100187302
432.00	0.27428099513054
433.00	0.28094398975372
434.00	0.28815600275993
435.00	0.29646500945091
436.00	0.30555799603462
437.00	0.31394499540329
438.00	0.32452800869942
439.00	0.33448299765587
440.00	0.3457710146904
441.00	0.35768601298332
442.00	0.36960101127625
443.00	0.38308399915695
444.00	0.39640998840332
445.00	0.41028499603271
446.00	0.42502200603485
447.00	0.44015100598335
448.00	0.45543599128723
449.00	0.47158399224281
450.00	0.48804599046707
451.00	0.50529098510742
452.00	0.52183097600937
453.00	0.53859800100327
454.00	0.55608701705933
455.00	0.57325398921967
456.00	0.59002900123596
457.00	0.60680401325226
458.00	0.6239709854126
459.00	0.64004099369049
460.00	0.65579700469971
461.00	0.67053401470184
462.00	0.68566298484802
463.00	0.69977301359177
464.00	0.71309900283813
465.00	0.72697299718857
466.00	0.73982900381088
467.00	0.75174397230148
468.00	0.76388597488403
469.00	0.77580899000168
470.00	0.78764599561691
471.00	0.80018800497055
472.00	0.81210297346115
473.00	0.82456701993942
474.00	0.83781498670578
475.00	0.85051298141479
476.00	0.86415302753448
477.00	0.87810599803925
478.00	0.89143198728561
479.00	0.90530699491501
480.00	0.91886800527573
481.00	0.93164497613907
482.00	0.94489300251007
